Run_ID,Feed_Temp_K,Feed_Press_Pa,Benzene_Frac,Stages,Feed_Stage,Reflux_Ratio,Bottoms_Rate,x_D_Benzene,x_B_Benzene,Q_C_kW,Q_R_kW,Converged
1734,332.2948041068909,115708.22807149228,0.3500840708100159,22,11,3.0750587835952974,41.33858432869064,0,0,0,0,False
1735,340.74561588657053,131257.81786372353,0.3080442927547237,25,13,2.0179781261197207,40.999050682244075,0,0,0,0,False
1736,324.28001227085025,104574.64787949948,0.4754998046067156,16,12,4.159275313250941,55.40925096430181,0.498789027637566,0.007015646211849586,188191.86788529105,195545.50417358594,True
1737,336.4705991159513,141017.72130434043,0.6075754067690984,16,9,4.193205560756533,43.33314880356801,0.63038646991492,0.0008301779769688154,193036.50398904763,197623.27984079375,True
1738,311.23947328582585,122710.48879354051,0.5725263758876797,24,9,4.500565844143204,42.421986538807715,0,0,0,0,False
1739,342.49972667497605,104202.74478983851,0.5868707973802174,24,8,4.964016633923609,50.6273084428377,0,0,0,0,False
1740,305.3538020768775,142866.39460966937,0.6017358483113018,24,12,2.1704017269670155,53.23301597697308,0,0,0,0,False
1741,310.23316931139857,142629.9931096955,0.64799341472098,21,6,2.931544040040748,42.141845315605245,0,0,0,0,False
1742,338.0487823374583,101075.73548236676,0.577511610035798,26,6,3.9749785349077067,44.71140584059284,0,0,0,0,False
1743,304.564169353671,132459.96219340348,0.31715658836593935,25,10,4.949619733445256,44.52345032695146,0,0,0,0,False
1744,348.99505163402915,129979.7201122524,0.6214531419391949,16,9,1.9450403390712374,45.38922738143824,0.6458434802431167,0.0016943479755615798,109324.88947762924,111668.65906120592,True
1745,341.4726145473042,133498.69088819047,0.46846852435398123,24,12,3.3673688932127774,41.577989935792225,0,0,0,0,False
1746,341.5682603922063,127241.90061129289,0.3719090739031383,29,5,2.0076207176376393,55.281590685059385,0,0,0,0,False
1747,306.07905853502257,146176.00798492442,0.5005201417590583,21,6,4.612223554501604,54.056530981644,0,0,0,0,False
1748,340.20731393798803,123125.4233056572,0.3968993337709017,24,10,1.865858495296727,59.62154902633702,0,0,0,0,False
1749,317.00350678353993,114297.73358927424,0.3890466359435123,18,7,4.734261640446739,50.296451326517285,0.40678060697605717,1.6643117599201366e-05,208720.39652118704,217778.38582254897,True
1750,296.75968057123464,104168.65838482225,0.593298369384996,18,11,1.6057712010068486,48.52137538749584,0.6183728125234126,0.0018224453866821954,96326.45200123913,107445.77279177372,True
1751,312.49098159837985,142073.64800289363,0.5366231487066393,26,5,3.230606449842857,42.918451108619365,0,0,0,0,False
1752,331.6385050843843,130940.17787439271,0.42389513444537935,21,8,3.1202368039751534,42.530124901702365,0,0,0,0,False
1753,339.4341847156636,142930.500929158,0.4557672963523563,18,10,4.617094094744327,58.75391003930024,0.47993383457016786,0.00023815615306386532,203948.3730844685,208842.32814532766,True
1754,318.3062622696314,115226.31601388255,0.6528976452425079,23,13,1.6086108823582275,43.91259168879641,0,0,0,0,False
1755,310.1462052606469,105444.28865678741,0.3021185508839557,25,11,4.642192107756105,59.07446259784034,0,0,0,0,False
1756,305.21264556214464,131474.5228881078,0.3584529898384183,26,10,4.142557088953689,46.74712179486206,0,0,0,0,False
1757,305.2936632409927,124232.9744201714,0.5355782429705253,24,9,2.055883862055315,48.695344647997025,0,0,0,0,False
1758,311.8580727424506,128918.10885136171,0.620656713092607,25,8,2.3251439940311966,41.81836019580443,0,0,0,0,False
1759,310.05082584882126,111206.38689786496,0.32328153936027343,18,6,2.170960226659234,53.7300818960936,0.3392493622858981,1.1206564373362117e-05,114320.42556809504,124926.8992726685,True
1760,346.8436691201664,143139.83360523864,0.6466380064678036,29,9,4.3280244517667175,51.30918604433377,0,0,0,0,False
1761,318.6208780122146,121870.14848959948,0.6036855107744656,18,8,3.3185389888497347,53.129334674784964,0.6317657999080063,9.162814460521654e-05,159023.81378778507,166628.700368805,True
1762,294.60040244189776,125520.16894604551,0.6272028863602597,19,10,1.4963251080003568,46.10956488747285,0.6522515998556195,0.00041939692803759853,92626.33231709177,103898.2974192774,True
1763,336.9331144946069,125389.2891139659,0.5337552543722672,23,8,4.161550619102987,48.02854855115854,0,0,0,0,False
1764,318.38487594418154,118693.84955723058,0.6190891713610176,29,12,2.686548849560473,45.331710280168224,0,0,0,0,False
1765,321.22290715308264,100638.98824775244,0.551996097869248,23,5,2.9767654231150984,43.74557291628516,0,0,0,0,False
1766,338.87917653815725,100944.3709512326,0.3470900361809928,26,8,1.549209835210183,43.53225636371043,0,0,0,0,False
1767,337.0974932479293,109161.7894470906,0.646179827370396,16,13,3.1701183679335045,54.86607302284281,0.675607377972413,0.029982094267970636,153597.6714085103,157900.45299496313,True
1768,317.319648291788,145159.46391618397,0.5264729702380356,29,7,1.2347124861497984,56.44766185853806,0,0,0,0,False
1769,338.80688907673766,133774.41722880834,0.5051942514763571,28,7,1.3059111420478633,50.93636646577892,0,0,0,0,False
1770,328.7181278960269,141968.37704094208,0.41796847566705353,23,6,3.174459776775996,50.82547996382551,0,0,0,0,False
1771,315.34993838393336,120154.8889732263,0.5115125655804135,24,13,4.147534064714727,47.350309755033166,0,0,0,0,False
1772,346.1424064801905,127878.61557502374,0.4364517527694196,23,5,3.680499879705125,54.828027930002854,0,0,0,0,False
1773,348.2483675907519,111858.29880708586,0.36509435134183443,27,12,4.213470726960503,45.79461537526902,0,0,0,0,False
1774,348.0882558139822,104692.81255611246,0.4781880753843384,28,8,4.918565223886455,56.45737456232884,0,0,0,0,False
1775,317.61314625847126,145324.92874520208,0.6684397610736772,19,7,4.363686951899615,42.19673482039633,0.6926279048506111,1.6079770340542555e-05,200053.3790983416,207488.23851189294,True
1776,306.50470281188325,121342.20147623042,0.5731800586947594,25,12,3.308976840310631,45.802021071622896,0,0,0,0,False
1777,302.7175806947791,100589.55683367595,0.4171174921531423,22,6,4.191667302323974,44.65278205053594,0,0,0,0,False
1778,336.5836886732781,128488.01989474078,0.6866476133649376,23,11,1.8883769740774987,58.48904978678489,0,0,0,0,False
1779,341.2773810403323,144460.26601443344,0.502081259872028,25,11,1.9639075219508515,59.027513569864496,0,0,0,0,False
1780,335.5514031934507,101306.03300220572,0.6378974400548383,23,13,1.6471651339606093,54.35233259239884,0,0,0,0,False
